path,shape,doi,title,articleType,year,articleId
_source/SMPTE/Journal Article Repository/1918/7229673/7308278/07308285.xml,publication,10.5594/J18006,Theoretical vs. Practical as Applied to Standardization and Some of the Things to be Considered as Proper Subjects for Standardization,orig-research,1918,0b00006484a930fa
_source/SMPTE/Journal Article Repository/1918/7229673/7308278/07308286.xml,publication,10.5594/J18007,Incandescent Lamps for Motion Picture Service,orig-research,1918,0b00006484a930fb
_source/SMPTE/Journal Article Repository/1918/7229673/7308278/07308287.xml,publication,10.5594/J18008,Some Consideration in the Application of Tungsten Filament Lamps to Motion Picture Projectors,orig-research,1918,0b00006484a930fc
_source/SMPTE/Journal Article Repository/1918/7229673/7308278/07308288.xml,publication,10.5594/J18004,Condensers,info-society,1918,0b00006484a930fd
_source/SMPTE/Journal Article Repository/1919/7229673/7229940/07229941.xml,publication,10.5594/J17983C1,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1919,0b000064849ba4f9
_source/SMPTE/Journal Article Repository/1919/7229673/7229940/07229942.xml,publication,10.5594/J17984,President&#x0027;s Address,info-society,1919,0b000064849ba4fa
_source/SMPTE/Journal Article Repository/1919/7229673/7229940/07229943.xml,publication,10.5594/J17986,&#x201C;White Light for Motion Picture Photography&#x201D;,orig-research,1919,0b000064849ba4fb
_source/SMPTE/Journal Article Repository/1919/7229673/7229940/07229944.xml,publication,10.5594/J17983,Some Phases of the Optical System of the Projector,orig-research,1919,0b000064849ba4fc
_source/SMPTE/Journal Article Repository/1919/7229673/7229940/07229945.xml,publication,10.5594/J17985,Condenser Design and Screen Illumination,orig-research,1919,0b000064849ba4fd
_source/SMPTE/Journal Article Repository/1919/7229673/7229940/07229946.xml,publication,10.5594/J17987,Adding Color to Motion,orig-research,1919,0b000064849ba4fe
_source/SMPTE/Journal Article Repository/1919/7229673/7229940/07229947.xml,publication,10.5594/J17988,Attachments to Professional Cinematographic Cameras,orig-research,1919,0b000064849ba4ff
_source/SMPTE/Journal Article Repository/1919/7229673/7229993/07229994.xml,publication,10.5594/J04155C1,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1919,0b000064849ba6cd
_source/SMPTE/Journal Article Repository/1919/7229673/7229993/07229995.xml,publication,10.5594/J04155iiA,Transactions of the Society of Motion Picture Engineers &#x2014; Table of Contents,info-society,1919,0b000064849ba6ce
_source/SMPTE/Journal Article Repository/1919/7229673/7229993/07229996.xml,publication,10.5594/J04155iiiiA,Transactions of the Society of Motion Picture Engineers &#x2014; Front Matter,info-society,1919,0b000064849ba6cf
_source/SMPTE/Journal Article Repository/1919/7229673/7229993/07229997.xml,publication,10.5594/J04155,Society of Motion Picture Engineers,orig-research,1919,0b000064849ba6d0
_source/SMPTE/Journal Article Repository/1919/7229673/7229993/07229998.xml,publication,10.5594/J04156,Classification of Papers Presented before the Society up to and Including the Pittsburgh Meeting in 1919,orig-research,1919,0b000064849ba6d1
_source/SMPTE/Journal Article Repository/1919/7229673/7229993/07229999.xml,publication,10.5594/J04157,Classified Membership List,orig-research,1919,0b000064849ba6d2
_source/SMPTE/Journal Article Repository/1919/7229673/7229993/07230000.xml,publication,10.5594/J04158,President&#x0027;s Address,orig-research,1919,0b000064849ba6d3
_source/SMPTE/Journal Article Repository/1919/7229673/7229993/07230001.xml,publication,10.5594/J04159,Preliminary Measurements of Illumination in Motion Picture Projection,orig-research,1919,0b000064849ba6d4
_source/SMPTE/Journal Article Repository/1919/7229673/7229993/07230002.xml,publication,10.5594/J04160,Selection of Proper Power Equipment for the Modern Motion Picture Studios,orig-research,1919,0b000064849ba6d5
_source/SMPTE/Journal Article Repository/1919/7229673/7229993/07230003.xml,publication,10.5594/J04161,The Continuous Reduction Printer,orig-research,1919,0b000064849ba71d
_source/SMPTE/Journal Article Repository/1919/7229673/7229993/07230004.xml,publication,10.5594/J04162,Stereoscopic Motion Pictures,orig-research,1919,0b000064849ba71e
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07229989.xml,publication,10.5594/J14219C1,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1920,0b000064849ba73a
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07229990.xml,publication,10.5594/J14219iiA,Transactions of the Society of Motion Picture Engineers &#x2014; Table of Contents,info-society,1920,0b000064849ba73b
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07229991.xml,publication,10.5594/J14219ixviA,Transactions of the Society of Motion Picture Engineers &#x2014; Advertisement,info-society,1920,0b000064849ba73c
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07229992.xml,publication,10.5594/J14229,Motion Picture Standards Adopted in Committee of the Whole Society,info-society,1920,0b000064849ba73d
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230013.xml,publication,10.5594/J14232,Motion-Picture Nomenclature: Society of Motion-Picture Engineers,info-society,1920,0b000064849ba73e
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230014.xml,publication,10.5594/J14221,Remote Control Switchboards for Motion-Picture Studios,orig-research,1920,0b000064849ba73f
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230015.xml,publication,10.5594/J14224,Motion Pictures in Connection with Isolated Lighting Plants,orig-research,1920,0b000064849ba740
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230016.xml,publication,10.5594/J14225,Educational Possibilities of Motion Pictures,orig-research,1920,0b000064849ba741
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230017.xml,publication,10.5594/J14227,Tests of Screen Illumination from Motion-Picture Projectors,orig-research,1920,0b000064849ba742
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230018.xml,publication,10.5594/J14228,The Tinting of Motion-Picture Film,orig-research,1920,0b000064849ba780
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230019.xml,publication,10.5594/J14230,Heating and Ventilation of Motion-Picture Theatres,orig-research,1920,0b000064849ba781
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230020.xml,publication,10.5594/J14231,The Various Effects of Over-Speeding Projection,orig-research,1920,0b000064849ba782
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230021.xml,publication,10.5594/J14233,The Eccentric Star Intermittent Movement,orig-research,1920,0b000064849ba783
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230022.xml,publication,10.5594/J14234,Standards in Theatre Design to Safeguard from Fire and Panic,orig-research,1920,0b000064849ba784
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230023.xml,publication,10.5594/J14235,The Interior Illumination of the Motion-Picture Theatre,orig-research,1920,0b000064849ba785
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230024.xml,publication,10.5594/J14236,Continuous Motion-Picture Machines,orig-research,1920,0b000064849ba786
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230025.xml,publication,10.5594/J14219,Further Measurements of Illumination in Motion-Picture Projection,orig-research,1920,0b000064849ba787
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230026.xml,publication,10.5594/J14222,Papers Committee Report,info-society,1920,0b000064849ba788
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230027.xml,publication,10.5594/J14223,Supplement to Report of Papers Committee: Educational Suggestions,info-society,1920,0b000064849ba789
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230028.xml,publication,10.5594/J14226,Society of Motion-Picture Engineers: Report of Committee on Progress,info-society,1920,0b000064849ba7c6
_source/SMPTE/Journal Article Repository/1920/7229673/7229988/07230029.xml,publication,10.5594/J14220,Report of the Optics Committee,info-society,1920,0b000064849ba7c7
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230006.xml,publication,10.5594/J14199C1,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1920,0b000064849ba7e2
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230007.xml,publication,10.5594/J14199IIA,Transactions of the Society of Motion Picture Engineers &#x2014; Table of Contents,info-society,1920,0b000064849ba7e3
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230008.xml,publication,10.5594/J14199IXVIA,Transactions of the Society of Motion Picture Engineers &#x2014; Advertisement,info-society,1920,0b000064849ba7e4
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230009.xml,publication,10.5594/J14206,"Result of Annual Election October, 1920",info-society,1920,0b000064849ba7e5
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230010.xml,publication,10.5594/J14210,Extracts from By-Laws,info-society,1920,0b000064849ba7e6
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230011.xml,publication,10.5594/J14214,List of Active Members,info-society,1920,0b000064849ba7e7
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230012.xml,publication,10.5594/J14217,List of Associate Members,info-society,1920,0b000064849ba7e8
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230033.xml,publication,10.5594/J14199,Lists of Various Committees&#x2014;1920&#x2013;1921: Society of Motion Picture Engineers,info-society,1920,0b000064849ba7e9
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230034.xml,publication,10.5594/J14200,President&#x0027;s Address,info-society,1920,0b000064849ba7ea
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230035.xml,publication,10.5594/J14202,Extracts from Minutes of the Fifth Annual Meeting of the Society of Motion Picture Engineers,info-society,1920,0b000064849ba828
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230036.xml,publication,10.5594/J14203,Report of the Advertising Committee,info-society,1920,0b000064849ba829
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230037.xml,publication,10.5594/J14204,Report of Committee on Progress,info-society,1920,0b000064849ba82a
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230038.xml,publication,10.5594/J14205,Papers Committee Report,info-society,1920,0b000064849ba82b
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230039.xml,publication,10.5594/J14207,Report on Committee to Consider Correspondence Course for Projectionists,info-society,1920,0b000064849ba82c
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230040.xml,publication,10.5594/J14208,"Extracts of Action Taken at Board of Governors Meeting, Hotel Miami, Dayton, Ohio, October 10, 1920",info-society,1920,0b000064849ba82d
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230041.xml,publication,10.5594/J14209,History of the Motion Picture,orig-research,1920,0b000064849ba82e
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230042.xml,publication,10.5594/J14212,Reducing the Fire Hazard in Film Exchanges,orig-research,1920,0b000064849ba82f
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230043.xml,publication,10.5594/J14213,Reflection Characteristics of Projection Screens,orig-research,1920,0b000064849ba830
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230044.xml,publication,10.5594/J14215,Absorption and Reflection Losses in Motion Picture Objectives,orig-research,1920,0b000064849ba831
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230045.xml,publication,10.5594/J14216,The High Power Arc in Motion Pictures,orig-research,1920,0b000064849ba864
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230046.xml,publication,10.5594/J14218,Design of Power Plant and Electrical Distribution in Large Studios,orig-research,1920,0b000064849ba865
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230047.xml,publication,10.5594/J14201,Portable Power Plants for Motion Picture Studios,orig-research,1920,0b000064849ba866
_source/SMPTE/Journal Article Repository/1920/7229673/7230005/07230048.xml,publication,10.5594/J14211,Report of the Optics Committee,info-society,1920,0b000064849ba867
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229886.xml,publication,10.5594/J14587C1,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1921,0b000064849ba385
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229887.xml,publication,10.5594/J14587IIA,Transactions of the Society of Motion Picture Engineers &#x2014; Table of Contents,info-society,1921,0b000064849ba386
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229888.xml,publication,10.5594/J14587IXIIIA,Transactions of the Society of Motion Picture Engineers &#x2014; Advertisement,info-society,1921,0b000064849ba387
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229889.xml,publication,10.5594/J14587,Officers,info-society,1921,0b000064849ba388
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229890.xml,publication,10.5594/J14588,Extracts from By-Laws,info-society,1921,0b000064849ba389
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229891.xml,publication,10.5594/J14589,Lists of Various Committees&#x2014;1920&#x2013;1921,info-society,1921,0b000064849ba38a
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229892.xml,publication,10.5594/J14590,Members,info-society,1921,0b000064849ba38b
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229893.xml,publication,10.5594/J14591,President&#x0027;s Address,info-society,1921,0b000064849ba38c
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229894.xml,publication,10.5594/J14592,Meeting of the Board of Governors of the Society of Motion Picture Engineers,info-society,1921,0b000064849ba38d
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229895.xml,publication,10.5594/J14593,"Report of Educational Committee: Society of Motion Picture Engineers Washington Meeting, May 9&#x2013;12, 1921",info-society,1921,0b000064849ba3cb
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229896.xml,publication,10.5594/J14594,Report of the Advertising Committee,info-society,1921,0b000064849ba3cc
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229897.xml,publication,10.5594/J14595,"Papers Committee Report: Spring Convention, 1921",info-society,1921,0b000064849ba3cd
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229898.xml,publication,10.5594/J14596,Report of Committee on Electrical Devices,info-society,1921,0b000064849ba3ce
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229899.xml,publication,10.5594/J14597,"Tentative Report of Optics Committee: Society of Motion Picture Engineers&#x2014;May, 1921",orig-research,1921,0b000064849ba3cf
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229900.xml,publication,10.5594/J14598,Motion Picture Nomenclature,info-society,1921,0b000064849ba3d0
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229901.xml,publication,10.5594/J14599,A Review of Material Pertaining to Motion Picture Engineering,orig-research,1921,0b000064849ba3d1
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229902.xml,publication,10.5594/J14600,Lighting for Motion Picture Theatres,orig-research,1921,0b000064849ba3d2
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229903.xml,publication,10.5594/J14602,Motion Picture Cameras,orig-research,1921,0b000064849ba3d3
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229904.xml,publication,10.5594/J14604,The Absorption of Light by Toned and Tinted Motion Picture Film,orig-research,1921,0b000064849ba3d4
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229905.xml,publication,10.5594/J14605,Discussion of Paper Entitled &#x201C;Transmission of Tinted Motion Picture Films&#x201D;,orig-research,1921,0b000064849ba411
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229906.xml,publication,10.5594/J14606,Condenser Lenses for Theater Motion Picture Equipments,orig-research,1921,0b000064849ba412
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229907.xml,publication,10.5594/J14609,Continuous Motion Projector of the Taking of Pictures at High Speed,orig-research,1921,0b000064849ba413
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229908.xml,publication,10.5594/J14611,Color Photography,orig-research,1921,0b000064849ba414
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229909.xml,publication,10.5594/J14613,Building a Non-Theatrical Film Library,orig-research,1921,0b000064849ba415
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229910.xml,publication,10.5594/J14615,Submarine Photography,orig-research,1921,0b000064849ba416
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229911.xml,publication,10.5594/J14616,"Address by Mr. Henry D. Hubbard of the National Bureau of Standards at the Washington Meeting of the Society of Motion Picture Engineers, May 9&#x2013;12, 1921",orig-research,1921,0b000064849ba417
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229912.xml,publication,10.5594/J14617,New Developments in Mazda Lamp Projection for Motion Pictures,orig-research,1921,0b000064849ba418
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229913.xml,publication,10.5594/J14619,Talk and Demonstration Action of Various Chemicals on Arc Lamp Cores,orig-research,1921,0b000064849ba419
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229914.xml,publication,10.5594/J14601,Discussion of G. L. Stair&#x0027;s Paper,info-society,1921,0b000064849ba41a
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229915.xml,publication,10.5594/J14603,Discussion of Gregory&#x0027;s Paper,info-society,1921,0b000064849ba44d
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229916.xml,publication,10.5594/J14607,Discussion on Mr. Egeler&#x0027;s Paper,info-society,1921,0b000064849ba44e
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229917.xml,publication,10.5594/J14608,Address of Mr. F. W. Stratton: Director of the Bureau of Standards,info-society,1921,0b000064849ba44f
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229918.xml,publication,10.5594/J14610,Discussion of Jenkin&#x0027;s Paper,info-society,1921,0b000064849ba450
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229919.xml,publication,10.5594/J14612,Discussion of Dr. Ives&#x0027; Paper,info-society,1921,0b000064849ba451
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229920.xml,publication,10.5594/J14614,Discussion of Paper by L. E. Davidson,info-society,1921,0b000064849ba452
_source/SMPTE/Journal Article Repository/1921/7229673/7229885/07229921.xml,publication,10.5594/J14618,Discussion of Paper by C. A. B. Halvorson,info-society,1921,0b000064849ba453
_source/SMPTE/Journal Article Repository/1921/7229673/7229948/07229949.xml,publication,10.5594/J12468C1,Transactions of the Society of Motion Picture Engineers &#x2014; Cover,info-society,1921,0b000064849ba543
_source/SMPTE/Journal Article Repository/1921/7229673/7229948/07229950.xml,publication,10.5594/J12468,"Index by Authors: Transactions of Society of Motion Picture Engineers from October, 1916, to October, 1921",info-society,1921,0b000064849ba544
_source/SMPTE/Journal Article Repository/1921/7229673/7229948/07229951.xml,publication,10.5594/J12465IIA,Transactions of the Society of Motion Picture Engineers &#x2014; Table of Contents,info-society,1921,0b000064849ba545
_source/SMPTE/Journal Article Repository/1921/7229673/7229948/07229952.xml,publication,10.5594/J12465IIXIIIA,Transactions of the Society of Motion Picture Engineers &#x2014; Advertisement,info-society,1921,0b000064849ba546
