docId,docTitle,publicationDate,bucket,registered_doi_current,should_be_canonical_doi,href_current,should_be_href,note
SMPTE.RP163.1992,System Service Messages,1992-09-01,malformed,10.5594/SMPTE.RP163-1992,10.5594/SMPTE.RP163.1992,https://doi.org/10.5594/SMPTE.RP163-1992,https://doi.org/10.5594/SMPTE.RP163.1992,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP170.1993,Video Tape Recorder Type-Specific Messages for Digital Control Interface Annex A,1993-07-01,malformed,10.5594/SMPTE.RP170-1993,10.5594/SMPTE.RP170.1993,https://doi.org/10.5594/SMPTE.RP170-1993,https://doi.org/10.5594/SMPTE.RP170.1993,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP171.1993,Type-Specific Messages for Digital Control Interface of Analog Audio Tape Recorders,1993-07-01,malformed,10.5594/SMPTE.RP171-1993,10.5594/SMPTE.RP171.1993,https://doi.org/10.5594/SMPTE.RP171-1993,https://doi.org/10.5594/SMPTE.RP171.1993,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP172.1993,Common Messages for Digital Control Interface,1993-07-01,malformed,10.5594/SMPTE.RP172-1993,10.5594/SMPTE.RP172.1993,https://doi.org/10.5594/SMPTE.RP172-1993,https://doi.org/10.5594/SMPTE.RP172.1993,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP191.1996,Routing Switcher Type-Specific Messages for Remote Control of Broadcast Equipment,1996-09-01,malformed,10.5594/SMPTE.RP191-1996,10.5594/SMPTE.RP191.1996,https://doi.org/10.5594/SMPTE.RP191-1996,https://doi.org/10.5594/SMPTE.RP191.1996,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP2047-5.2017Am1.2018,VC-2 Level 66 Compression of Ultra-High Definition Video Sources for Use with a High Definition Infrastructure,2018-04-09,malformed,10.5594/SMPTE.RP2047-5Am1.2018,10.5594/SMPTE.RP2047-5.2017Am1.2018,https://doi.org/10.5594/SMPTE.RP2047-5Am1.2018,https://doi.org/10.5594/SMPTE.RP2047-5.2017Am1.2018,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP2052-10.2010Am1.2012,Conversion from CEA-608 Data to SMPTE-TT,2012-01-03,malformed,10.5594/SMPTE.RP2052-10.2010-A1,10.5594/SMPTE.RP2052-10.2010Am1.2012,https://doi.org/10.5594/SMPTE.RP2052-10.2010-A1,https://doi.org/10.5594/SMPTE.RP2052-10.2010Am1.2012,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP210.2007,Metadata Element Dictionary,2007-01-25,malformed,10.5594/SMPTE.RP210.10.2007,10.5594/SMPTE.RP210.2007,https://doi.org/10.5594/SMPTE.RP210.10.2007,https://doi.org/10.5594/SMPTE.RP210.2007,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP210.2012,Metadata Element Dictionary,2012-04-18,malformed,10.5594/SMPTE.RP210v13.2012,10.5594/SMPTE.RP210.2012,https://doi.org/10.5594/SMPTE.RP210v13.2012,https://doi.org/10.5594/SMPTE.RP210.2012,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP2110-25.2023-04,Measurement Practices,2023-04-13,malformed,10.5594/SMPTE.RP2110-25.2023,10.5594/SMPTE.RP2110-25.2023-04,https://doi.org/10.5594/SMPTE.RP2110-25.2023,https://doi.org/10.5594/SMPTE.RP2110-25.2023-04,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP2129.2023-08,Inter-Entity Trust Boundary,2023-08-28,malformed,10.5594/SMPTE.RP2129.2023,10.5594/SMPTE.RP2129.2023-08,https://doi.org/10.5594/SMPTE.RP2129.2023,https://doi.org/10.5594/SMPTE.RP2129.2023-08,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP224.2011,SMPTE Labels Register,2011-02-16,malformed,10.5594/SMPTE.RP224v11.2011,10.5594/SMPTE.RP224.2011,https://doi.org/10.5594/SMPTE.RP224v11.2011,https://doi.org/10.5594/SMPTE.RP224.2011,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP224.2012,SMPTE Labels Register,2012-04-18,malformed,10.5594/SMPTE.RP224v12.2012,10.5594/SMPTE.RP224.2012,https://doi.org/10.5594/SMPTE.RP224v12.2012,https://doi.org/10.5594/SMPTE.RP224.2012,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP268-3.2023-08,Reference Materials for DPX V2.0 HDR Implementations,2023-08-30,malformed,10.5594/SMPTE.RP268-3.2023,10.5594/SMPTE.RP268-3.2023-08,https://doi.org/10.5594/SMPTE.RP268-3.2023,https://doi.org/10.5594/SMPTE.RP268-3.2023-08,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP27-1.1989,Specifications for Operational Alignment Test Pattern for Television,1989-02-28,malformed,10.5594/SMPTE.RP27.1.1989,10.5594/SMPTE.RP27-1.1989,https://doi.org/10.5594/SMPTE.RP27.1.1989,https://doi.org/10.5594/SMPTE.RP27-1.1989,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP27-2.1989,Specifications for Operational Registration Test Pattern for Multiple-Channel Television Cameras,1989-02-28,malformed,10.5594/SMPTE.RP27.2.1989,10.5594/SMPTE.RP27-2.1989,https://doi.org/10.5594/SMPTE.RP27.2.1989,https://doi.org/10.5594/SMPTE.RP27-2.1989,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP27-5.1989,Specifications for Mid-Frequency Response Test Pattern for Television,1989-03-29,malformed,10.5594/SMPTE.RP27.5.1989,10.5594/SMPTE.RP27-5.1989,https://doi.org/10.5594/SMPTE.RP27.5.1989,https://doi.org/10.5594/SMPTE.RP27-5.1989,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.RP38.1989,Specifications for Deflection Linearity Test Pattern for Television,1989-02-27,malformed,10.5594/SMPTE.RP38.1.1989,10.5594/SMPTE.RP38.1989,https://doi.org/10.5594/SMPTE.RP38.1.1989,https://doi.org/10.5594/SMPTE.RP38.1989,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.ST11.1995,Quadruplex Recorders Operating at 7.5 in/s - Audio Level and Multifrequency Test Tape,1995-02-13,malformed,10.5594/SMPTE.ST11-1995,10.5594/SMPTE.ST11.1995,https://doi.org/10.5594/SMPTE.ST11-1995,https://doi.org/10.5594/SMPTE.ST11.1995,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.ST2021-4.2023-09,Schema Documentation,2023-09-15,malformed,10.5594/SMPTE.ST2021-4.2023,10.5594/SMPTE.ST2021-4.2023-09,https://doi.org/10.5594/SMPTE.ST2021-4.2023,https://doi.org/10.5594/SMPTE.ST2021-4.2023-09,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.ST2021.2008,Broadcast Exchange Format (BXF),2008-04-14,malformed,10.5594/SMPTE.ST2021M.2008,10.5594/SMPTE.ST2021.2008,https://doi.org/10.5594/SMPTE.ST2021M.2008,https://doi.org/10.5594/SMPTE.ST2021.2008,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.ST2048-1.2024-08,2048 × 1080 and 4096 × 2160 Digital Cinematography Production Image Formats FS/709,2024-08-28,malformed,10.5594/SMPTE.ST2048-1.2024,10.5594/SMPTE.ST2048-1.2024-08,https://doi.org/10.5594/SMPTE.ST2048-1.2024,https://doi.org/10.5594/SMPTE.ST2048-1.2024-08,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.ST2048-2.2024-08,2048 × 1080 Digital Cinematography Production Image FS/709 Formatting for Serial Digital Interface,2024-08-28,malformed,10.5594/SMPTE.ST2048-2.2024,10.5594/SMPTE.ST2048-2.2024-08,https://doi.org/10.5594/SMPTE.ST2048-2.2024,https://doi.org/10.5594/SMPTE.ST2048-2.2024-08,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
SMPTE.ST2048-3.2024-08,Mapping into Multi-link 10 Gb/s Serial Signal/Data Interface,2024-08-28,malformed,10.5594/SMPTE.ST2048-3.2024,10.5594/SMPTE.ST2048-3.2024-08,https://doi.org/10.5594/SMPTE.ST2048-3.2024,https://doi.org/10.5594/SMPTE.ST2048-3.2024-08,"Corrected to the actually-registered (malformed) DOI form from Zoho standards export (_source/SMPTE/Zoho/SMPTE Standards Document Zoho Export 2026-05-21.json). The DOI registrar received this DOI with a duplicated SMPTE. prefix and that's the only form that resolves at doi.org — the SMPTE-canonical form (matching this doc's docId) does NOT resolve. UPSTREAM ACTION NEEDED: SMPTE should re-register this DOI in the canonical form to match the docId; once that lands, this field can be flipped back and the excludeChanges lock removed. Field locked via excludeChanges so future cross-fills can't ""fix"" it back to the unresolvable canonical form before the upstream re-registration happens."
