authors,docId,docLabel,docTitle,docType,doi,href,publicationDate,publisher,resolvedHref,status.active,referencedBy,docDependancy,currentStatus,details,abstract,abbrevTitle,articleType,copyright.holder,copyright.year,issn.print,number,pages,publisherLocation.city,volume,docTypeAbr,references.bibliographic,references.normative,referencesResolved.bibliographic,referencesResolved.normative,referenceTree,contentType,journalAcronym,keywords,publisherLocation.country,revisionOf,status.stabilized,status.latestVersion,msiLatestAny,msiLatestBase,isLatestAny,docBase,docBaseLabel,isLatestBase,__isNewestInBase,docVersion,status.superseded,status.supersededBy,status.amended,status.amendedBy,status.reaffirmed,docSuiteTitle,group,status.draft,status.unknown,status.withdrawn,status.stabilizedDate,status.statusNote,status.supersededDate,status.versionless,status.amendedDate,docNumber,docPart,status.withdrawnDate,isbn,status.errataExist,repo,relatedDocs,status.reaffirmDate,issn,status.errataUrl,status.supersedes,status.amends,releaseTag,status.state,status.stage,approvalDate,icsCodes,productNumber,standardId,familyId,status.withdrawnNotice,depositDate,currentWork,docElement,status.supersededByr,xmlNamespace
"[""M.R. Parker"",""S. Venkataram"",""D. DeSmet""]",10.1109-20.179494,"IEEE Transactions on Magnetics ( Volume: 28, Issue: 5, September 1992)",Magnetic and magneto-photoellipsometric evaluation of corrosion in metal-particle media,Journal Article,10.1109/20.179494,https://doi.org/10.1109/20.179494,1992-09-01,IEEE,https://ieeexplore.ieee.org/document/179494/,true,"[""SMPTE.RP190.1996""]",true,Active,need to add references,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""D.E. Speliotis"",""K.J. Peter""]",10.1109-20.278927,"IEEE Transactions on Magnetics ( Volume: 27, Issue: 6, November 1991)","Corrosion study of metal particle, metal film, and Ba-ferrite tape",Journal Article,10.1109/20.278927,https://doi.org/10.1109/20.278927,1991-11-01,IEEE,https://ieeexplore.ieee.org/document/278927/,true,"[""SMPTE.RP190.1996""]",true,Active,need to add references,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""M. Vos"",""G. Ashton"",""J. Van Bogart"",""R. Ensminger""]",10.1109-20.312264,"IEEE Transactions on Magnetics ( Volume: 30, Issue: 2, March 1994)",Heat and moisture diffusion in magnetic tape packs,Journal Article,10.1109/20.312264,https://doi.org/10.1109/20.312264,1994-03-01,IEEE,https://ieeexplore.ieee.org/document/312264/,true,"[""SMPTE.RP190.1996""]",true,Active,need to add references,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""L. J. Sivian""]",10.1121-1.1915182,"J. Acoust. Soc. of Amer., vol. 1, no. 2, pp. 1, Jan. 1930",Speech Power and Its Measurement,Journal Article,10.1121/1.1915182,https://doi.org/10.1121/1.1915182,1930-01-01,Acoustical Society of America,undefined,true,"[""10.5594-J05508""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""J. A. Pierce"",""F. V. Hunt""]",10.1121-1.1915951,"Jour. Acous. Soc. Amer., vol. 10, pp. 14-28, July 1938.",On Distortion in Sound Reproduction from Phonograph Records,Journal Article,10.1121/1.1915951,https://doi.org/10.1121/1.1915951,1938-01-01,Acoustical Society of America,undefined,true,"[""JRPROC.1947.232603""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""W. D. Lewis"",""F. V. Hunt""]",10.1121-1.1916111,"Jour. Acous. Soc. Amer., vol. 12, pp. 348-365, January 1941",A Theory of Tracing Distortion in Sound Reproduction from Phonograph Records,Journal Article,10.1121/1.1916111,https://doi.org/10.1121/1.1916111,1941-01-01,Acoustical Society of America,undefined,true,"[""JRPROC.1947.232603""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""P. Z. Adelstein"",""J. L. Bigourdan"",""J. M. Reilly""]",10.1179-JAIC.019713697806124475,"JAIC 1997, Volume 36, Number 3, Article 2 (pp. 193 to 206)",Moisture Relationships of Photographic Film,Journal Article,10.1179/019713697806124475,https://cool.culturalheritage.org/jaic/articles/jaic36-03-002_indx.html,undefined,American Institute for Conservation,undefined,true,"[""SMPTE.RP131.2002""]",true,Active,undefined,"The moisture content of photographic film is a critical feature that influences physical properties, mold growth, and chemical stability. It is characterized by the moisture equilibrium curve, which is a plot of the moisture content as a function of the relative humidity. The effect of temperature on the moisture equilibrium curve is the main thrust of this article, which discusses the practical implications of these data for accelerated incubation studies. The temperature effect on the rates of moisture conditioning on film in several practical storage configurations and enclosures is presented. Finally, data are given on the moisture protection afforded by different enclosures, leading to recommendations on the cold storage of photographic film.",undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""2 Blazier, Warren E., Jr""]",10.3397-1.2832172,"Noise Control Engineering Volume 16, Number 2, 1 March 1981, pp. 64-73(10)",Revised noise criteria for application in the acoustical design and rating of HVAC systems,White Paper,10.3397/1.2832172,https://doi.org/10.3397/1.2832172,1981-03-01,Institute of Noise Control Engineering of the USA,https://ince.publisher.ingentaconnect.com/content/ince/nce/1981/00000016/00000002/art00002,true,"[""SMPTE.RP141.2005"",""SMPTE.RP141.2020""]",true,Active,undefined,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,undefined,null,null,null,null,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J00021,"Journal of the Society of Motion Picture Engineers ( Volume: 34, Issue: 1, January 1940)",Report on the Adaptation of Fine-Grain Films to Variable-Density Sound Technics,Journal Article,10.5594/J00021,https://doi.org/10.5594/J00021,1940-01-01,SMPTE,undefined,true,undefined,false,Active,undefined,The activities of various West Coast studios and laboratories in the adaptation of fine-grain films for variable-density recording are summarized. A set of requirements for a suitable variable density negative and print emulsions have been formulated and are included in the paper.,J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1940,0097-5834,1,3–11,"White Plains, NY",34,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""C. R. Daily""]",10.5594-J00022,"Journal of the Society of Motion Picture Engineers ( Volume: 34, Issue: 1, January 1940)",Improvement in Sound and Picture Release through the Use of Fine-Grain Film,Journal Article,10.5594/J00022,https://doi.org/10.5594/J00022,1940-01-01,SMPTE,undefined,true,undefined,false,Active,undefined,"Many types of picture scenes are improved in quality when some of the new fine-grain films are used as a printing stock. More detail on the screen and less image “boiling” is observed due to the greater resolution of the fine-grain films. When such films are used for variable-density sound recording, a material increase in volume range is obtained which permits greater latitude in the original and dubbing recording operations. The sound quality is improved due to the reduction in noise and modulated noise effects which partially mask the signal when the coarser-grained positive types of emulsions are used. Data are presented on some of the problems encountered in the use of fine-grain films for dubbing prints, release negative, and release prints.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1940,0097-5834,1,12–25,"White Plains, NY",34,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""F. W. Roberts"",""E. Taenzer""]",10.5594-J00023,"Journal of the Society of Motion Picture Engineers ( Volume: 34, Issue: 1, January 1940)",Photographic Duping of Variable-Area Sound,Journal Article,10.5594/J00023,https://doi.org/10.5594/J00023,1940-01-01,SMPTE,undefined,true,undefined,false,Active,undefined,"Release print laboratories require a method of quickly making photographic duplicate negatives to replace damaged original negative sections. The paper shows the development of a method of making dupes which have the same optimal print densities as the original negatives. A selection of film stocks is first made using the ratio of transmission between black area and fogs as a “yardstick.” Processing data are shown in a family of curves, and the “best operating point” for the entire process has been determined. Fog considerations have been carried throughout the process. An outline of commercial practice is given together with the necessary routine tests.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1940,0097-5834,1,26–37,"White Plains, NY",34,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""F. W. Roberts"",""H. R. Cook""]",10.5594-J00024,"Journal of the Society of Motion Picture Engineers ( Volume: 34, Issue: 1, January 1940)",A Sound-Track Center-Line Measuring Device,Journal Article,10.5594/J00024,https://doi.org/10.5594/J00024,1940-01-01,SMPTE,undefined,true,undefined,false,Active,undefined,"Release print laboratories need some sort of device to check quickly sound-track center-line positions on release prints. No satisfactory device was available, so a measuring machine was developed that indicates track position directly on a dial indicator.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1940,0097-5834,1,38–42,"White Plains, NY",34,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""R. O. Drew"",""E. W. Kellogg""]",10.5594-J00025,"Journal of the Society of Motion Picture Engineers ( Volume: 34, Issue: 1, January 1940)",Starting Characteristics of Speech Sounds,Journal Article,10.5594/J00025,https://doi.org/10.5594/J00025,1940-01-01,SMPTE,undefined,true,undefined,false,Active,undefined,"In view of its bearing on the design of ground-noise-reduction systems, a study was undertaken to determine how sudden or rapid are the increases in amplitude of the speech sounds that must be recorded in dialog. A large number of oscillograms were taken, a number of which are reproduced herewith. The most important observation is that the human voice can start several of the vowel sounds in such a way that the first wave is from 40 to 80 per cent of the final amplitude, or, in other words, with a suddenness comparable to that of keying in an oscillator. However, this is rare, being for all practical purposes confined to a few of the more open vowel sounds, when not preceded by any consonant, and true only of certain individuals, depending on the manner of releasing the breath. Progressive build-up at rates which would carry the modulation from zero to 100 per cent in 0.05 second are frequent, while the great majority of syllables start more gradually than this.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1940,0097-5834,1,43–58,"White Plains, NY",34,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""S. L. Reiches""]",10.5594-J00026,"Journal of the Society of Motion Picture Engineers ( Volume: 34, Issue: 1, January 1940)",Volume Distortion,Journal Article,10.5594/J00026,https://doi.org/10.5594/J00026,1940-01-01,SMPTE,undefined,true,undefined,false,Active,undefined,"The contention that a linear recording and reproducing system represents the ideal, and that sound handled by such a system will be exactly represented, is not borne out by experience. Systems have been built which meet this requirement within limits that are not detectable by the ear and yet these systems do not reproduce sound as it actually is produced. In many cases a definite non-linear response curve is provided to compensate for some factor that is not covered by the above contention. It is the author's thesis that this discrepancy is due to the ear sensitivity to frequencies as a function of loudness. Using the ear-sensitivity curves presented by Fletcher and Munson of the Bell Telephone Laboratories (which have been verified by other observers) it is shown how the ear introduces frequency distortion to a linear system when the sound is reproduced at a level other than the level at which it is produced. It is shown how a sound reproduced above the incident sound-level introduces excessive low frequencies. The case for a sound reproduced at a lower level is also examined and the conclusion is drawn that this case accentuates the high frequencies. It is further shown that the possibility of correcting for the limited volume range of all sound systems may lie in the type of amplifier response curve. A description is given of three methods used to achieve the desired amplifier characteristics: (1) a mechanical method, (2) a linear-non-linear system, and (3) a selective by-pass system. Circuits are given and the important operating points of each are discussed. The objections to each system are also given. Further, a brief summary, with diagrams, describes the various set-ups used to record with these amplifiers. This covers work for radio, disk record, and sound-film.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1940,0097-5834,1,59–75,"White Plains, NY",34,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
