path,shape,doi,title,articleType,year,articleId
_source/SMPTE/Conference Repository/Conference Papers/1970/7261391/7261392/07261412.xml,publication,10.5594/M00707,Panel Discussion: Receiver/Cable Television Interface,orig-research,1970,0b000064849f98c3
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261276.xml,publication,10.5594/M00176,Foreword,orig-research,1971,0b000064849f9568
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261277.xml,publication,10.5594/M00177,Socio-Economic Aspects of Videoplayer Systems &#x2014; A Perspective,orig-research,1971,0b000064849f9569
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261278.xml,publication,10.5594/M00178,Video Cassettes &#x2014; The New Medium,orig-research,1971,0b000064849f956a
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261279.xml,publication,10.5594/M00179,Video Cassettes &#x2014; Boom or Bust&#x003F;,orig-research,1971,0b000064849f956b
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261280.xml,publication,10.5594/M00180,Some Reflections on Cassettes and Video Cassettes,orig-research,1971,0b000064849f956c
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261281.xml,publication,10.5594/M00181,Techniques for Storage and Reproduction of Audio-Visual and Television Programs,orig-research,1971,0b000064849f956d
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261282.xml,publication,10.5594/M00182,High-Speed Contact Duplication of Video Magnetic Tapes,orig-research,1971,0b000064849f95a0
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261283.xml,publication,10.5594/M00183,Videoplayer Compatibility with Television Receivers,orig-research,1971,0b000064849f95a1
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261284.xml,publication,10.5594/M00184,Compatibility and Standardization of Various Systems of Video Cassettes,orig-research,1971,0b000064849f95a2
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261285.xml,publication,10.5594/M00185,Quebec 1971 and Information by Images,orig-research,1971,0b000064849f95a3
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261286.xml,publication,10.5594/M00186,"Audio-Visual Methods of Self-Education in the Health Sciences or &#x201C;What You Want, when You Want it, where You Want it, and as Often as You Need it&#x201D;",orig-research,1971,0b000064849f95a4
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261287.xml,publication,10.5594/M00187,Cable Television Prospects for Cassette Systems,orig-research,1971,0b000064849f95a5
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261288.xml,publication,10.5594/M00188,Industrial Applications of Videoplayer Systems,orig-research,1971,0b000064849f95a6
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261289.xml,publication,10.5594/M00189,Another Chance for the Individual (Home Utilization of Video Cassettes),orig-research,1971,0b000064849f95a7
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261290.xml,publication,10.5594/M00190,The Design Concept of the Sony Color Video Cassette Total System,orig-research,1971,0b000064849f95a8
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261291.xml,publication,10.5594/M00191,"Super-8 Film: A Universal Input to Video Cassette and Television Systems, Part I: Application Concepts",orig-research,1971,0b000064849f95a9
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261292.xml,publication,10.5594/M00192,"Super-8 Film: A Universal Input to Video Cassette and Television Systems, Part II: Technical Consideration",orig-research,1971,0b000064849f95dc
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261293.xml,publication,10.5594/M00193,Color Recording on the Video Disc,orig-research,1971,0b000064849f95dd
_source/SMPTE/Conference Repository/Conference Papers/1971/7261274/7261275/07261294.xml,publication,10.5594/M00194,Panel Discussions: Perspective and Utilization,orig-research,1971,0b000064849f95de
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261476.xml,publication,10.5594/M00547,Introduction,orig-research,1976,0b000064849f9a31
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261477.xml,publication,10.5594/M00548,Assembling an Electronic News Gathering System,orig-research,1976,0b000064849f9a32
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261478.xml,publication,10.5594/M00549,WAGA and ENG,orig-research,1976,0b000064849f9a33
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261479.xml,publication,10.5594/M00550,Microcam I: A New Concept in the Design of a Portable Color Camera for Broadcast Applications,orig-research,1976,0b000064849f9a34
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261480.xml,publication,10.5594/M00551,Mini-Cameras,orig-research,1976,0b000064849f9a35
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261481.xml,publication,10.5594/M00552,A Single Package Portable Color Camera for ENG,orig-research,1976,0b000064849f9a36
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261482.xml,publication,10.5594/M00553,Micro-Power LSI&#x0027;d Hand Held Color Camera for ENG System,orig-research,1976,0b000064849f9a69
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261483.xml,publication,10.5594/M00554,New Developments in Electronic News Gathering Equipment,orig-research,1976,0b000064849f9a6a
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261484.xml,publication,10.5594/M00555,Experimental Production Use of the Canadian Domestic Satellite,orig-research,1976,0b000064849f9a6b
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261485.xml,publication,10.5594/M00556,Television News Gathering &#x2014; A Balanced Approach,orig-research,1976,0b000064849f9a6c
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261486.xml,publication,10.5594/M00557,Spectra-TAC Systems for Electronic Newsgathering,orig-research,1976,0b000064849f9a6d
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261487.xml,publication,10.5594/M00558,Review of Electronic News Gathering Antennas with Multiple Polarization,orig-research,1976,0b000064849f9a6e
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261488.xml,publication,10.5594/M00559,Microwave Concepts for Electronic News Gathering,orig-research,1976,0b000064849f9a6f
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261489.xml,publication,10.5594/M00560,Electronic Journalism Editing at NBC,orig-research,1976,0b000064849f9a70
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261490.xml,publication,10.5594/M00561,"ENG Editing on Helical Video Cassettes: An Inexpensive New Non-Timecode System that is Fast, Flexible and Accurate",orig-research,1976,0b000064849f9a71
_source/SMPTE/Conference Repository/Conference Papers/1976/7261474/7261475/07261491.xml,publication,10.5594/M00562,Transcript of the Panel Discussion on Electronic Newgathering,orig-research,1976,0b000064849f9a72
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261297.xml,publication,10.5594/M00572,Editor&#x0027;s Foreword,orig-research,1978,0b000064849f95e1
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261298.xml,publication,10.5594/M00573,An Overview of One-Inch Helical Video Recording,orig-research,1978,0b000064849f95e2
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261299.xml,publication,10.5594/M00574,Proposed SMPTE Type C Helical-Scan Recording Format: A Subcommittee Report,orig-research,1978,0b000064849f95e3
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261300.xml,publication,10.5594/M00575,The Development of National Standardization of the One-Inch Helical Video Tape Recording Systems,orig-research,1978,0b000064849f95e4
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261301.xml,publication,10.5594/M00576,BCN Digital Store: An Economical Accessory for Production and Post Production,orig-research,1978,0b000064849f95e5
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261302.xml,publication,10.5594/M00577,"Technical Description of Sony&#x0027;s Portable One-Inch Machine, the BVH 500: First Discussion of its Technical Parameters",orig-research,1978,0b000064849f9618
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261303.xml,publication,10.5594/M00578,Mechanical Design Considerations for Helical-Scan Videotape Recorders,orig-research,1978,0b000064849f9619
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261304.xml,publication,10.5594/M00579,Outdoor Program Production Utilizing Compact Equipment,orig-research,1978,0b000064849f961a
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261305.xml,publication,10.5594/M00580,User&#x0027;s Experience with Type B &#x201C;BCN Helical&#x201D; Portable and Studio Editing VTR,orig-research,1978,0b000064849f961b
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261306.xml,publication,10.5594/M00581,Videotape Program Production at CBS Studio Center,orig-research,1978,0b000064849f961c
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261307.xml,publication,10.5594/M00582,A New Edit Room Using One-Inch Non-Segmented Helical VTRs,orig-research,1978,0b000064849f961d
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261308.xml,publication,10.5594/M00583,Post-Production Experience with the Ampex VPR-1 High-Band Video Tape Recorder,orig-research,1978,0b000064849f961e
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261309.xml,publication,10.5594/M00584,Post Production and Production Using One-Inch Helical Videotape and VTRs,orig-research,1978,0b000064849f961f
_source/SMPTE/Conference Repository/Conference Papers/1978/7261295/7261296/07261310.xml,publication,10.5594/M00585,Transcript of the Panel Discussion on One-Inch Helical Video Recording,orig-research,1978,0b000064849f9620
_source/SMPTE/Conference Repository/Conference Papers/1978/7261314/7261315/07261316.xml,publication,10.5594/M001118,Editor&#x0027;s Foreword,orig-research,1978,0b000064849f9658
_source/SMPTE/Conference Repository/Conference Papers/1978/7261314/7261315/07261317.xml,publication,10.5594/M00413,The ANTIOPE Broadcast Teletext System,orig-research,1978,0b000064849f9659
_source/SMPTE/Conference Repository/Conference Papers/1978/7261314/7261315/07261318.xml,publication,10.5594/M00414,Optical Television Link Employing a Digitally Modulated Laser,orig-research,1978,0b000064849f965a
_source/SMPTE/Conference Repository/Conference Papers/1978/7261314/7261315/07261319.xml,publication,10.5594/M00415,A Monolithic Video A/D Converter,orig-research,1978,0b000064849f965b
_source/SMPTE/Conference Repository/Conference Papers/1978/7261314/7261315/07261320.xml,publication,10.5594/M00416,Digital Processing in the DPS-1,orig-research,1978,0b000064849f965c
_source/SMPTE/Conference Repository/Conference Papers/1978/7261314/7261315/07261321.xml,publication,10.5594/M00417,The Near-Term Future for Digital Television&#x2014;A Panel Discussion from the 120th SMPTE Conference,orig-research,1978,0b000064849f965d
_source/SMPTE/Conference Repository/Conference Papers/1979/7261553/7261554/07261555.xml,publication,10.5594/M00412,Editor&#x0027;s Foreword,orig-research,1979,0b000064849f9c27
_source/SMPTE/Conference Repository/Conference Papers/1979/7261553/7261554/07261556.xml,publication,10.5594/M00418,The Expanding World of Digital Video Effects,orig-research,1979,0b000064849f9c28
_source/SMPTE/Conference Repository/Conference Papers/1979/7261553/7261554/07261557.xml,publication,10.5594/M00419,The Use of the Computer in Animation Production,orig-research,1979,0b000064849f9c29
_source/SMPTE/Conference Repository/Conference Papers/1979/7261553/7261554/07261558.xml,publication,10.5594/M00420,Some Experiments in Television Graphics and Animation Using a Digital Image Memory,orig-research,1979,0b000064849f9c2a
_source/SMPTE/Conference Repository/Conference Papers/1979/7261553/7261554/07261559.xml,publication,10.5594/M00421,Color Graphics and Animation by Mini-Computer,orig-research,1979,0b000064849f9c2b
_source/SMPTE/Conference Repository/Conference Papers/1979/7261553/7261554/07261560.xml,publication,10.5594/M00422,The Mosaic Keyer,orig-research,1979,0b000064849f9c2c
_source/SMPTE/Conference Repository/Conference Papers/1979/7261553/7261554/07261561.xml,publication,10.5594/M00423,Low Bit-Rate System for Digital Coding of the Television Signal,orig-research,1979,0b000064849f9c2d
_source/SMPTE/Conference Repository/Conference Papers/1979/7261553/7261554/07261562.xml,publication,10.5594/M00424,Separate Components Digital Video Recording is Needed and Possible,orig-research,1979,0b000064849f9c61
_source/SMPTE/Conference Repository/Conference Papers/1979/7261553/7261554/07261563.xml,publication,10.5594/M00425,Digital Video Recording &#x2014; A Progress Report,orig-research,1979,0b000064849f9c62
_source/SMPTE/Conference Repository/Conference Papers/1979/7261553/7261554/07261564.xml,publication,10.5594/M00426,Digital Video Recording &#x2014; What will it Do for the Broadcaster&#x003F;,orig-research,1979,0b000064849f9c63
_source/SMPTE/Conference Repository/Conference Papers/1979/7261553/7261554/07261565.xml,publication,10.5594/M00427,Digital Video Recording &#x2014; A Panel Discussion from the 13th SMPTE Television Conference,orig-research,1979,0b000064849f9c64
_source/SMPTE/Conference Repository/Conference Papers/1980/7261311/7261312/07261313.xml,publication,10.5594/M00453,Transcript of the Digital 1980 SMPTE Workshop NAB Convention &#x2014; Las Vegas &#x2014; 14 April 1980,orig-research,1980,0b000064849f9655
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261568.xml,publication,10.5594/M00428,Editor&#x0027;s Foreword,orig-research,1980,0b000064849f9c67
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261569.xml,publication,10.5594/M00429,Integrated Circuits for TV in the Digital Decade,orig-research,1980,0b000064849f9c68
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261570.xml,publication,10.5594/M00430,The All-Digital Television Studio,orig-research,1980,0b000064849f9c69
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261571.xml,publication,10.5594/M00431,Report of the Committee on New Technology,orig-research,1980,0b000064849f9c6a
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261572.xml,publication,10.5594/M00432,When are Digits Going to Meet the Action&#x003F;,orig-research,1980,0b000064849f9ca0
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261573.xml,publication,10.5594/M00433,Digital Audio Formats for Recording and Digital Communications,orig-research,1980,0b000064849f9ca1
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261574.xml,publication,10.5594/M00434,An Overview of Progress toward the Digital TV Plant,orig-research,1980,0b000064849f9ca2
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261575.xml,publication,10.5594/M00435,Digital Video Processing&#x2014;1980,orig-research,1980,0b000064849f9ca3
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261576.xml,publication,10.5594/M00436,Component versus Composite Coding for Television Signal Processing,orig-research,1980,0b000064849f9ca4
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261577.xml,publication,10.5594/M00437,Three Dimensional Spectrum and Processing of Digital NTSC Color Signals,orig-research,1980,0b000064849f9ca5
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261578.xml,publication,10.5594/M00438,Current and Future Developments in Digital Switching and Effects,orig-research,1980,0b000064849f9ca6
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261579.xml,publication,10.5594/M00439,Software-Based Digital Signal Processing,orig-research,1980,0b000064849f9ca7
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261580.xml,publication,10.5594/M00440,Multifunction Digital Video Processor,orig-research,1980,0b000064849f9ca8
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261581.xml,publication,10.5594/M00441,Network Distribution of Digital Television Signals,orig-research,1980,0b000064849f9ca9
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261582.xml,publication,10.5594/M00442,Overview of Broadcast Teletext Systems for NTSC Television Standards,orig-research,1980,0b000064849f9cdc
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261583.xml,publication,10.5594/M00443,Progress Report of the Subcommittee on Teletext of the EIA Broadcast Television Systems Committee,orig-research,1980,0b000064849f9cdd
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261584.xml,publication,10.5594/M00444,Architecture of the French LSI Set for Antiope Teletext Decoders,orig-research,1980,0b000064849f9cde
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261585.xml,publication,10.5594/M00445,The Users View of Teletext Systems,orig-research,1980,0b000064849f9cdf
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261586.xml,publication,10.5594/M00446,Digital Recording: What is to be Done&#x003F;,orig-research,1980,0b000064849f9ce0
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261587.xml,publication,10.5594/M00447,Digital Audio Recording for Television: Some Choices,orig-research,1980,0b000064849f9ce1
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261588.xml,publication,10.5594/M00448,Digital Video Recording in the 625-Line System,orig-research,1980,0b000064849f9ce2
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261589.xml,publication,10.5594/M00449,Experimental Digital VTR with Tri-Level Recording and Fire Code Error Correction,orig-research,1980,0b000064849f9ce3
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261590.xml,publication,10.5594/M00450,Digital Video Recording&#x2014;Some Experiments and Future Considerations,orig-research,1980,0b000064849f9ce4
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261591.xml,publication,10.5594/M00451,Recent Advances in Digital Video Recording,orig-research,1980,0b000064849f9ce5
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261592.xml,publication,10.5594/M00452,Progress Report of the &#x201C;SMPTE Study Group on Digital Television Tape Recording&#x201D;,orig-research,1980,0b000064849f9d22
_source/SMPTE/Conference Repository/Conference Papers/1980/7261566/7261567/07261593.xml,publication,10.5594/M00454,Glossary of Digital Television Terms,orig-research,1980,0b000064849f9d23
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261630.xml,publication,10.5594/M00643,Foreword,orig-research,1981,0b000064849f9de8
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261631.xml,publication,10.5594/M00644,A New Channel Code for Magnetic Digital Recording,orig-research,1981,0b000064849f9de9
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261632.xml,publication,10.5594/M00645,Recent Developments in Error Concealment Techniques,orig-research,1981,0b000064849f9e1c
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261633.xml,publication,10.5594/M00646,A Format for Digital Television Tape Recording,orig-research,1981,0b000064849f9e1d
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261634.xml,publication,10.5594/M00647,Digital Video Tape Recording with Increased Packing Density&#x2014;Progress Report,orig-research,1981,0b000064849f9e1e
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261635.xml,publication,10.5594/M00648,Aspects and Considerations about the Mechanical Format of Digital VTRs,orig-research,1981,0b000064849f9e1f
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261636.xml,publication,10.5594/M00649,Mechanical Tape Format Considerations for Digital Television Recording,orig-research,1981,0b000064849f9e20
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261637.xml,publication,10.5594/M00650,Formats for Digital Video Tape Recorders,orig-research,1981,0b000064849f9e21
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261638.xml,publication,10.5594/M00651,D.V.T.R. Editing Considerations for Multiplexed Audio vs. Separate Audio Edge Tracks,orig-research,1981,0b000064849f9e22
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261639.xml,publication,10.5594/M00652,Digital Television Error Correction without Overhead Bits,orig-research,1981,0b000064849f9e23
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261640.xml,publication,10.5594/M00653,Reflections of a Camera Designer,orig-research,1981,0b000064849f9e24
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261641.xml,publication,10.5594/M00654,A Super Camera Using Saticon and Built-in Computer Control System,orig-research,1981,0b000064849f9e25
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261642.xml,publication,10.5594/M00655,Advances in EFP Camera Design,orig-research,1981,0b000064849f9e58
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261643.xml,publication,10.5594/M00656,A New High Resolution Plumbicon Tube,orig-research,1981,0b000064849f9e59
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261644.xml,publication,10.5594/M00657,Lag Reduction and Lag Characteristics of Television Camera Tube Signals,orig-research,1981,0b000064849f9e5a
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261645.xml,publication,10.5594/M00658,Multiplex Sound Television Broadcasting in Japan,orig-research,1981,0b000064849f9e5b
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261646.xml,publication,10.5594/M00659,Questions on the Orientation of Research in HDTV in the 80&#x0027;s,orig-research,1981,0b000064849f9e5c
_source/SMPTE/Conference Repository/Conference Papers/1981/7261628/7261629/07261647.xml,publication,10.5594/M00660,High Definition Television Studies on Compatible Basis with Present Standards,orig-research,1981,0b000064849f9e5d
